"","scenario","true.pi","dist.of.pi","num.studies","sample.sizes","heterogeneity","bias","bias.prop","RMSE","RMSE.prop","coverage"
"153",153,0.005,"NA",15,"small",0,0.000154282381186281,0.0308564762372561,1.21369752412902e-05,0.00242739504825803,0.967
"154",154,0.005,"NA",15,"medium",0,0.00014755764447703,0.029511528895406,2.609397098362e-06,0.000521879419672401,0.967
"155",155,0.005,"NA",15,"large",0,2.48889660842413e-05,0.00497779321684825,5.31415203395298e-07,0.00010628304067906,0.957
"156",156,0.005,"NA",15,"mix",0,-1.91778987195075e-06,-0.00038355797439015,3.36858088476551e-06,0.000673716176953102,0.962
"157",157,0.005,"NA",15,"small",0,6.88403244757956e-05,0.0137680648951591,1.25742608250296e-05,0.00251485216500592,0.966
"158",158,0.005,"NA",15,"medium",0,-3.60817542754509e-05,-0.00721635085509017,2.75779567453441e-06,0.000551559134906882,0.953
"159",159,0.005,"NA",15,"large",0,-3.00299933193835e-05,-0.00600599866387669,5.39394720707652e-07,0.00010787894414153,0.949
"160",160,0.005,"NA",15,"mix",0,5.58291049273037e-05,0.0111658209854607,3.08397261696675e-06,0.000616794523393349,0.973
"161",161,0.005,"NA",30,"small",0,-5.11728346775708e-05,-0.0102345669355142,6.14998749341101e-06,0.0012299974986822,0.967
"162",162,0.005,"NA",30,"medium",0,4.04991190262541e-05,0.00809982380525082,1.25506393082552e-06,0.000251012786165105,0.955
"163",163,0.005,"NA",30,"large",0,-2.16174889447492e-05,-0.00432349778894983,2.78546792109322e-07,5.57093584218643e-05,0.939
"164",164,0.005,"NA",30,"mix",0,-3.16843575033848e-05,-0.00633687150067697,1.42592185635567e-06,0.000285184371271135,0.957
"165",165,0.005,"NA",30,"small",0,8.14787314861092e-05,0.0162957462972218,5.98295343006757e-06,0.00119659068601351,0.968
"166",166,0.005,"NA",30,"medium",0,1.86866967707892e-05,0.00373733935415784,1.35504939012185e-06,0.00027100987802437,0.947
"167",167,0.005,"NA",30,"large",0,-7.3831926402193e-06,-0.00147663852804386,2.73872445172615e-07,5.47744890345229e-05,0.961
"168",168,0.005,"NA",30,"mix",0,2.17440775395332e-05,0.00434881550790664,1.2903969929351e-06,0.00025807939858702,0.957
"169",169,0.005,"unif",5,"small",0.1,-0.000339461820714815,-0.0678923641429631,4.25368754536519e-05,0.00850737509073038,0.954
"170",170,0.005,"unif",5,"small",0.5,8.7054882205362e-05,0.0174109764410724,4.04576342454346e-05,0.00809152684908692,0.961
"171",171,0.005,"unif",5,"medium",0.1,0.000106468320962418,0.0212936641924835,8.02884375459443e-06,0.00160576875091889,0.965
"172",172,0.005,"unif",5,"medium",0.5,0.00027403762409872,0.054807524819744,7.65059253751898e-06,0.0015301185075038,0.978
"173",173,0.005,"unif",5,"large",0.1,-1.13667892578925e-05,-0.00227335785157849,1.7476236294414e-06,0.00034952472588828,0.962
"174",174,0.005,"unif",5,"large",0.5,-2.38517129662778e-05,-0.00477034259325555,1.86686412890164e-06,0.000373372825780328,0.946
"175",175,0.005,"unif",5,"mix",0.1,4.01996363526627e-05,0.00803992727053255,6.19851766228961e-06,0.00123970353245792,0.96
"176",176,0.005,"unif",5,"mix",0.5,3.72031255668236e-05,0.00744062511336471,6.32451407257875e-06,0.00126490281451575,0.963
"177",177,0.005,"unif",15,"small",0.1,1.22530549189886e-05,0.00245061098379771,1.17376858193736e-05,0.00234753716387473,0.965
"178",178,0.005,"unif",15,"small",0.5,0.000106552084626428,0.0213104169252857,1.24682816634315e-05,0.0024936563326863,0.968
"179",179,0.005,"unif",15,"medium",0.1,-1.99844382832463e-05,-0.00399688765664926,2.87574866959381e-06,0.000575149733918762,0.95
"180",180,0.005,"unif",15,"medium",0.5,2.9619020672348e-05,0.00592380413446961,2.50030286591192e-06,0.000500060573182384,0.971
"181",181,0.005,"unif",15,"large",0.1,-2.00048036620404e-06,-0.000400096073240808,5.20327725718163e-07,0.000104065545143633,0.968
"182",182,0.005,"unif",15,"large",0.5,1.38583892273315e-05,0.00277167784546629,5.61812937798459e-07,0.000112362587559692,0.948
"183",183,0.005,"unif",15,"mix",0.1,-5.88934369150915e-05,-0.0117786873830183,3.37736588564421e-06,0.000675473177128841,0.957
"184",184,0.005,"unif",15,"mix",0.5,-1.95862506545434e-05,-0.00391725013090868,3.29562278670648e-06,0.000659124557341297,0.961
"185",185,0.005,"unif",30,"small",0.1,-0.000108388900367665,-0.021677780073533,6.16294319653115e-06,0.00123258863930623,0.961
"186",186,0.005,"unif",30,"small",0.5,-5.42422225979288e-05,-0.0108484445195858,6.28495726481848e-06,0.0012569914529637,0.961
"187",187,0.005,"unif",30,"medium",0.1,-4.37900596496303e-05,-0.00875801192992606,1.39031310493103e-06,0.000278062620986207,0.937
"188",188,0.005,"unif",30,"medium",0.5,4.49525039596666e-05,0.00899050079193332,1.28349956339779e-06,0.000256699912679559,0.963
"189",189,0.005,"unif",30,"large",0.1,8.33862297229004e-06,0.00166772459445801,2.77547784358205e-07,5.55095568716411e-05,0.943
"190",190,0.005,"unif",30,"large",0.5,1.80957158283649e-05,0.00361914316567297,2.78656322942349e-07,5.57312645884697e-05,0.963
"191",191,0.005,"unif",30,"mix",0.1,4.56678227072906e-05,0.00913356454145811,1.37237209696998e-06,0.000274474419393995,0.954
"192",192,0.005,"unif",30,"mix",0.5,5.33928217477465e-06,0.00106785643495493,1.46647191851207e-06,0.000293294383702414,0.942
"193",193,0.005,"beta",5,"small",0.1,9.61020134033039e-05,0.0192204026806608,4.49336093595124e-05,0.00898672187190247,0.954
"194",194,0.005,"beta",5,"small",0.5,-0.000245221793845132,-0.0490443587690264,4.05937904257327e-05,0.00811875808514653,0.96
"195",195,0.005,"beta",5,"medium",0.1,1.15458042460204e-05,0.00230916084920407,8.01831321685609e-06,0.00160366264337122,0.974
"196",196,0.005,"beta",5,"medium",0.5,-5.64877234350722e-05,-0.0112975446870144,8.37154278099486e-06,0.00167430855619897,0.964
"197",197,0.005,"beta",5,"large",0.1,-5.18601154399972e-05,-0.0103720230879994,1.78364916539893e-06,0.000356729833079786,0.953
"198",198,0.005,"beta",5,"large",0.5,-1.03173586050524e-05,-0.00206347172101048,1.76332331969007e-06,0.000352664663938013,0.957
"199",199,0.005,"beta",5,"mix",0.1,3.80286580720485e-05,0.00760573161440971,5.83843672758676e-06,0.00116768734551735,0.968
"200",200,0.005,"beta",5,"mix",0.5,-6.41046409016619e-05,-0.0128209281803324,6.07977589197738e-06,0.00121595517839548,0.968
"201",201,0.005,"beta",15,"small",0.1,5.3799317787281e-05,0.0107598635574562,1.291074950118e-05,0.002582149900236,0.955
"202",202,0.005,"beta",15,"small",0.5,-8.19101611422711e-05,-0.0163820322284542,1.24088047162295e-05,0.0024817609432459,0.962
"203",203,0.005,"beta",15,"medium",0.1,6.26599192050828e-05,0.0125319838410166,2.69170894317295e-06,0.00053834178863459,0.953
"204",204,0.005,"beta",15,"medium",0.5,0.000103839844721726,0.0207679689443452,2.81485972645659e-06,0.000562971945291317,0.964
"205",205,0.005,"beta",15,"large",0.1,-3.93390992022958e-06,-0.000786781984045917,5.57335895102722e-07,0.000111467179020544,0.947
"206",206,0.005,"beta",15,"large",0.5,2.57893872241581e-05,0.00515787744483162,5.17304466647749e-07,0.00010346089332955,0.961
